Name,Overall,Potential,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
A. Carrillo,78,78,11000000,14000,1,4.0,4.0,2,6,22,19.0,155,78,78.0,0.011998685075608152,0.011505588428665352,0.011998685075608152,0.012163050624589085,0.013971071663379355,0.01282051282051282,0.009040105193951348,0.009861932938856016,0.013477975016436555,0.01413543721236029,0.01413543721236029,0.013149243918474687,0.012163050624589085,0.012491781722550954,0.012491781722550954,0.011998685075608152,0.01101249178172255,0.01183431952662722,0.01232741617357002,0.008711374095989481,0.005588428665351743,0.012163050624589085,0.011998685075608152,68.0,0.011998685075608152,0.0031229454306377384,0.0052596975673898745,0.004109138724523341
M. Formica,70,70,1700000,11000,1,3.0,3.0,7,3,0,33.0,155,70,66.0,0.013469387755102041,0.01326530612244898,0.012857142857142857,0.01326530612244898,0.015102040816326531,0.012857142857142857,0.012040816326530613,0.013673469387755103,0.014693877551020407,0.015102040816326531,0.014693877551020407,0.014081632653061225,0.013061224489795917,0.015102040816326531,0.014897959183673471,0.014285714285714285,0.01,0.012040816326530613,0.014897959183673471,0.010612244897959184,0.0067346938775510205,0.013673469387755103,0.014693877551020407,66.0,0.012244897959183673,0.0069387755102040816,0.004897959183673469,0.005918367346938776
A. Medina,66,66,400000,4000,1,4.0,3.0,1,6,26,7.0,174,65,56.0,0.015381083562901745,0.012167125803489439,0.01423324150596878,0.014003673094582185,0.016758494031221302,0.01423324150596878,0.015610651974288337,0.013544536271808998,0.016299357208448117,0.01928374655647383,0.01790633608815427,0.021120293847566578,0.014462809917355372,0.0202020202020202,0.016069788797061522,0.017447199265381085,0.01492194674012856,0.007805325987144169,0.01492194674012856,0.01147842056932966,0.006657483930211203,0.01423324150596878,0.013774104683195593,71.0,0.016299357208448117,0.00573921028466483,0.006657483930211203,0.006198347107438017
J. Tutuarima,66,69,675000,2000,0,4.0,3.0,0,6,15,5.0,174,67,54.0,0.00642791551882461,0.009871441689623508,0.015610651974288337,0.011019283746556474,0.01423324150596878,0.014462809917355372,0.008723599632690543,0.014692378328741965,0.01492194674012856,0.01790633608815427,0.017447199265381085,0.017447199265381085,0.015151515151515152,0.01951331496786042,0.013314967860422406,0.01584022038567493,0.01652892561983471,0.010330578512396693,0.010330578512396693,0.015381083562901745,0.014692378328741965,0.012626262626262626,0.014462809917355372,50.0,0.011707988980716254,0.013314967860422406,0.015610651974288337,0.014692378328741965
Jin Qi,52,61,70000,1000,1,2.0,2.0,8,3,1,21.0,180,67,29.0,0.007026627218934911,0.018121301775147928,0.015162721893491124,0.009985207100591717,0.007396449704142012,0.008505917159763314,0.010355029585798816,0.009985207100591717,0.014423076923076924,0.021819526627218935,0.022189349112426034,0.022928994082840236,0.01775147928994083,0.027736686390532544,0.013313609467455622,0.025887573964497042,0.022189349112426034,0.01886094674556213,0.00591715976331361,0.017011834319526627,0.01849112426035503,0.007396449704142012,0.010724852071005918,37.0,0.015532544378698224,0.019230769230769232,0.02071005917159763,0.020340236686390532
J. Doherty,58,69,190000,1000,0,3.0,2.0,6,3,7,3.0,155,70,58.0,0.006539833531510107,0.016349583828775268,0.01070154577883472,0.008323424494649227,0.01694411414982164,0.0133769322235434,0.008620689655172414,0.009215219976218787,0.01605231866825208,0.01991676575505351,0.02051129607609988,0.018727705112960763,0.015755053507728895,0.01694411414982164,0.019619500594530322,0.019619500594530322,0.018430439952437573,0.02051129607609988,0.005945303210463734,0.01694411414982164,0.01694411414982164,0.013079667063020214,0.009215219976218787,72.0,0.021700356718192627,0.017538644470868014,0.018133174791914387,0.017538644470868014
Dani Rochelinhas,75,75,7000000,17000,0,3.0,4.0,1,6,0,21.0,155,75,66.0,0.011377777777777778,0.009066666666666667,0.013155555555555556,0.010844444444444445,0.013333333333333334,0.012799999999999999,0.012977777777777779,0.012622222222222222,0.013511111111111113,0.014400000000000001,0.012799999999999999,0.014577777777777776,0.013155555555555556,0.01191111111111111,0.009777777777777778,0.009066666666666667,0.012622222222222222,0.0096,0.011022222222222221,0.010133333333333333,0.007288888888888888,0.013688888888888888,0.013511111111111113,71.0,0.013866666666666668,0.004622222222222222,0.005866666666666667,0.005688888888888889
M. Meilinger,64,64,475000,3000,0,3.0,3.0,8,6,22,11.0,155,77,63.0,0.01416015625,0.010986328125,0.015625,0.013427734375,0.015869140625,0.016357421875,0.015625,0.014404296875,0.015625,0.017578125,0.01806640625,0.017578125,0.013671875,0.0146484375,0.0166015625,0.01416015625,0.015625,0.01513671875,0.015625,0.01123046875,0.00830078125,0.01416015625,0.015380859375,62.0,0.013671875,0.007080078125,0.005859375,0.008544921875
I. Sacko,71,81,3900000,16000,1,3.0,3.0,8,3,26,18.0,183,70,60.0,0.013886133703630232,0.013489387026383652,0.013291013687760365,0.012894267010513787,0.014084507042253521,0.010117040269787742,0.010910533624280896,0.010910533624280896,0.013886133703630232,0.015671493751239836,0.01606824042848641,0.01666336044435628,0.01210077365602063,0.014084507042253521,0.014679627058123387,0.011902400317397342,0.011902400317397342,0.01229914699464392,0.013687760365006943,0.009323546915294585,0.006744693513191826,0.013687760365006943,0.013687760365006943,75.0,0.013489387026383652,0.005951200158698671,0.009125173576671296,0.0077365602063082725
J. Smith,63,63,325000,2000,1,3.0,2.0,8,9,4,8.0,183,78,60.0,0.014613252708490803,0.015873015873015872,0.0163769211388259,0.015369110607205845,0.01436130007558579,0.014109347442680775,0.014613252708490803,0.015873015873015872,0.015621063240110858,0.017384731670445956,0.01511715797430083,0.018140589569160998,0.0163769211388259,0.015873015873015872,0.01713277903754094,0.016124968505920885,0.018644494834971027,0.018140589569160998,0.015873015873015872,0.013353489543965735,0.012093726379440664,0.015369110607205845,0.01436130007558579,54.0,0.014865205341395817,0.013857394809775762,0.014613252708490803,0.013857394809775762
