Name,Overall,Potential,Value,Wage,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Jersey Number,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
M. Al Zubaidi,57,68,160000,3000,0,3.0,2.0,8,6,7,27.0,177,62,55.0,0.008618036318867343,0.012927054478301015,0.015081563558017852,0.007079101261926746,0.01631271160357033,0.009849184364419821,0.008310249307479223,0.014465989535241613,0.017236072637734686,0.023699599876885195,0.024315173899661435,0.02246845183133272,0.015081563558017852,0.02616189596799015,0.006155740227762388,0.0221606648199446,0.01815943367189905,0.020313942751615882,0.008925823330255463,0.014158202523853492,0.01600492459218221,0.015081563558017852,0.013850415512465374,52.0,0.013234841489689135,0.01631271160357033,0.016620498614958446,0.01692828562634657
J. Nolan,68,71,1100000,5000,1,4.0,3.0,2,3,4,11.0,155,72,54.0,0.013624567474048443,0.009948096885813149,0.015570934256055364,0.01319204152249135,0.014705882352941176,0.014273356401384083,0.011461937716262976,0.015138408304498268,0.014705882352941176,0.015570934256055364,0.01578719723183391,0.01881487889273356,0.01319204152249135,0.017949826989619378,0.013408304498269895,0.012975778546712802,0.017517301038062285,0.012110726643598616,0.014705882352941176,0.013624567474048443,0.013624567474048443,0.012326989619377162,0.014057093425605537,51.0,0.013408304498269895,0.01189446366782007,0.012759515570934257,0.012759515570934257
D. Pugh,60,60,90000,2000,0,2.0,2.0,5,6,4,16.0,183,76,61.0,0.01388888888888889,0.016944444444444443,0.016944444444444443,0.01388888888888889,0.014166666666666666,0.017777777777777778,0.016666666666666666,0.0175,0.016388888888888887,0.01361111111111111,0.012222222222222221,0.016388888888888887,0.015555555555555555,0.0175,0.017222222222222226,0.019166666666666665,0.0175,0.017777777777777778,0.015277777777777777,0.02,0.016944444444444443,0.015000000000000001,0.016666666666666666,44.0,0.016944444444444443,0.015277777777777777,0.016944444444444443,0.01611111111111111
R. Gestede,71,71,2400000,36000,1,3.0,3.0,8,6,26,39.0,195,86,39.0,0.013687760365006943,0.01646498710573299,0.011704026978774052,0.013092640349137076,0.012894267010513787,0.00991866693116445,0.011902400317397342,0.00991866693116445,0.013886133703630232,0.01031541360841103,0.013092640349137076,0.011108906962904185,0.01229914699464392,0.01031541360841103,0.01428288038087681,0.0162666137671097,0.012894267010513787,0.017853600476096014,0.013489387026383652,0.014481253719500098,0.007141440190438405,0.014084507042253521,0.00833168022217814,65.0,0.011108906962904185,0.004959333465582225,0.0077365602063082725,0.004562586788335648
R. Abdullah,69,74,1200000,5000,1,3.0,3.0,8,3,2,24.0,155,75,61.0,0.011972274732199117,0.010291955471539594,0.014492753623188406,0.009031716026044948,0.014282713715605966,0.010291955471539594,0.008611636210880068,0.014282713715605966,0.015332913253518168,0.013862633900441084,0.013442554085276203,0.013652593992858642,0.013442554085276203,0.014072673808023524,0.017013232514177697,0.014702793530770848,0.01554295316110061,0.014702793530770848,0.013022474270111321,0.013862633900441084,0.014492753623188406,0.014492753623188406,0.012812434362528881,53.0,0.013232514177693762,0.014072673808023524,0.014282713715605966,0.014072673808023524
B. Idowu,69,72,1100000,1000,1,3.0,2.0,0,6,15,3.0,155,76,63.0,0.007561436672967864,0.010712035286704473,0.011342155009451797,0.007561436672967864,0.011972274732199117,0.008191556395715185,0.008401596303297627,0.010081915563957152,0.012812434362528881,0.01890359168241966,0.017853392144507454,0.014702793530770848,0.013232514177693762,0.014282713715605966,0.011342155009451797,0.014702793530770848,0.017433312329342577,0.014282713715605966,0.005461037597143457,0.012812434362528881,0.013022474270111321,0.011132115101869355,0.011132115101869355,53.0,0.012182314639781557,0.014072673808023524,0.015332913253518168,0.014072673808023524
Bruno Leite,66,75,975000,2000,1,3.0,3.0,8,3,4,16.0,183,75,54.0,0.010330578512396693,0.009641873278236915,0.015381083562901745,0.011019283746556474,0.015610651974288337,0.01423324150596878,0.009871441689623508,0.014692378328741965,0.015151515151515152,0.016758494031221302,0.016069788797061522,0.016988062442607896,0.014462809917355372,0.01492194674012856,0.013314967860422406,0.011019283746556474,0.01790633608815427,0.01492194674012856,0.012626262626262626,0.012167125803489439,0.015151515151515152,0.013085399449035813,0.014462809917355372,44.0,0.013544536271808998,0.013774104683195593,0.01423324150596878,0.01423324150596878
C. Donaldson,67,67,400000,5000,1,3.0,2.0,8,6,26,8.0,186,80,43.0,0.01514813989752729,0.014034306081532636,0.010915571396747606,0.012920472265537981,0.013811539318333704,0.009801737580752952,0.0064602361327689905,0.009356204054355092,0.014479839607930497,0.01537090666072622,0.013811539318333704,0.013366005791935844,0.01514813989752729,0.011583871686344397,0.014925373134328358,0.01537090666072622,0.016707507239919803,0.017598574292715528,0.01225217197594119,0.016484740476720876,0.00601470260637113,0.015593673423925149,0.012920472265537981,64.0,0.015593673423925149,0.004232568500779683,0.006905769659166852,0.0035642682111828913
M. Jakoliš,65,72,775000,3000,1,3.0,2.0,8,6,14,44.0,183,77,65.0,0.015621301775147927,0.015147928994082842,0.014674556213017753,0.013964497041420118,0.015621301775147927,0.010650887573964497,0.010177514792899408,0.009940828402366864,0.014437869822485207,0.015384615384615385,0.016331360946745564,0.01680473372781065,0.015384615384615385,0.01609467455621302,0.014674556213017753,0.015857988165680473,0.010414201183431953,0.014911242603550296,0.014201183431952664,0.007810650887573964,0.002840236686390533,0.014674556213017753,0.014674556213017753,54.0,0.014201183431952664,0.0033136094674556214,0.004497041420118343,0.003076923076923077
K. Molino,72,72,3100000,7000,1,3.0,3.0,2,3,0,18.0,177,70,63.0,0.013695987654320988,0.011766975308641976,0.013117283950617283,0.011574074074074075,0.014467592592592594,0.013117283950617283,0.012152777777777778,0.011574074074074075,0.01408179012345679,0.014467592592592594,0.01427469135802469,0.014853395061728395,0.01408179012345679,0.014853395061728395,0.013310185185185185,0.013310185185185185,0.01427469135802469,0.01253858024691358,0.01273148148148148,0.010609567901234566,0.006944444444444444,0.01408179012345679,0.013503086419753086,69.0,0.013888888888888888,0.00945216049382716,0.010223765432098766,0.009066358024691358
G. Gardner,70,70,1900000,11000,1,3.0,3.0,8,6,19,20.0,186,82,70.0,0.011836734693877552,0.014693877551020407,0.014285714285714285,0.014897959183673471,0.012857142857142857,0.014897959183673471,0.015306122448979591,0.014693877551020407,0.014693877551020407,0.010612244897959184,0.011224489795918367,0.012244897959183673,0.013877551020408163,0.010816326530612244,0.01653061224489796,0.012653061224489795,0.015918367346938776,0.014285714285714285,0.014693877551020407,0.014897959183673471,0.013469387755102041,0.012653061224489795,0.012857142857142857,74.0,0.014897959183673471,0.011836734693877552,0.014081632653061225,0.012857142857142857
J. Lalpekhlua,63,64,0,0,1,3.0,2.0,8,9,23,12.0,180,75,61.0,0.015873015873015872,0.01436130007558579,0.01436130007558579,0.012597631645250693,0.015369110607205845,0.011841773746535651,0.014613252708490803,0.011589821113630636,0.016124968505920885,0.01940035273368607,0.018644494834971027,0.019904257999496095,0.01436130007558579,0.020156210632401108,0.017636684303350973,0.01310153691106072,0.01511715797430083,0.015873015873015872,0.016124968505920885,0.011841773746535651,0.00856638951877047,0.013857394809775762,0.011589821113630636,65.0,0.011841773746535651,0.007054673721340388,0.007810531620055429,0.007306626354245401
E. Soriano,67,67,750000,3000,1,4.0,2.0,8,9,26,89.0,183,82,48.0,0.014925373134328358,0.01514813989752729,0.01225217197594119,0.013811539318333704,0.014479839607930497,0.013143239028736911,0.010024504343951883,0.011361104923145467,0.013588772555134774,0.01581644018712408,0.016930274003118733,0.01514813989752729,0.013588772555134774,0.017598574292715528,0.01537090666072622,0.016707507239919803,0.018935174871909113,0.017153040766317667,0.01202940521274226,0.012920472265537981,0.0051236355535754065,0.015593673423925149,0.00913343729115616,66.0,0.014702606371129428,0.005346402316774337,0.004678102027177546,0.004232568500779683
C. Kröpfl,63,63,375000,2000,1,4.0,4.0,7,9,12,8.0,174,73,52.0,0.01436130007558579,0.008818342151675486,0.016124968505920885,0.012597631645250693,0.01713277903754094,0.01436130007558579,0.01511715797430083,0.015621063240110858,0.016880826404635927,0.02091206853111615,0.019652305366591082,0.02292768959435626,0.013353489543965735,0.02141597379692618,0.014865205341395817,0.020660115898211137,0.018644494834971027,0.010330057949105569,0.011337868480725623,0.012093726379440664,0.005794910556815318,0.011337868480725623,0.011589821113630636,44.0,0.013353489543965735,0.007810531620055429,0.007054673721340388,0.006802721088435374
J. Welsh,65,65,160000,3000,1,3.0,2.0,6,9,2,4.0,174,73,53.0,0.00923076923076923,0.013254437869822486,0.015147928994082842,0.009704142011834319,0.01301775147928994,0.011124260355029586,0.011597633136094675,0.013964497041420118,0.014674556213017753,0.007337278106508876,0.00804733727810651,0.009704142011834319,0.014911242603550296,0.016568047337278107,0.014437869822485207,0.01680473372781065,0.014911242603550296,0.018224852071005916,0.012544378698224851,0.01893491124260355,0.015621301775147927,0.011124260355029586,0.01183431952662722,46.0,0.015621301775147927,0.014674556213017753,0.015857988165680473,0.014911242603550296
M. Ríos,66,66,325000,1000,1,4.0,2.0,8,6,22,15.0,177,68,61.0,0.013085399449035813,0.010789715335169882,0.01492194674012856,0.01285583103764922,0.013314967860422406,0.012167125803489439,0.013544536271808998,0.01423324150596878,0.016069788797061522,0.01652892561983471,0.016299357208448117,0.012396694214876033,0.011019283746556474,0.01423324150596878,0.01584022038567493,0.014003673094582185,0.01767676767676768,0.010789715335169882,0.014003673094582185,0.01285583103764922,0.009871441689623508,0.016299357208448117,0.01652892561983471,54.0,0.014692378328741965,0.012396694214876033,0.009871441689623508,0.005968778696051423
G. Molins,71,71,2400000,6000,1,3.0,3.0,6,6,26,11.0,186,83,63.0,0.013687760365006943,0.011108906962904185,0.013489387026383652,0.013291013687760365,0.01428288038087681,0.012894267010513787,0.011902400317397342,0.011108906962904185,0.014481253719500098,0.013687760365006943,0.01428288038087681,0.013291013687760365,0.013886133703630232,0.01229914699464392,0.015076373735369965,0.006744693513191826,0.013092640349137076,0.01606824042848641,0.013687760365006943,0.011902400317397342,0.006546320174568538,0.014679627058123387,0.014084507042253521,70.0,0.014679627058123387,0.01031541360841103,0.00833168022217814,0.0073398135290616935
M. Harrer,61,62,300000,3000,1,3.0,2.0,2,6,9,11.0,183,76,57.0,0.015318462778822898,0.011556033324375168,0.015318462778822898,0.012362268207471109,0.0166621875839828,0.011556033324375168,0.009137328675087342,0.011824778285407149,0.01639344262295082,0.018274657350174684,0.019887127116366567,0.02042461703843053,0.016930932545014783,0.015318462778822898,0.016930932545014783,0.01209352324643913,0.01639344262295082,0.019887127116366567,0.01639344262295082,0.007524858908895459,0.0061811341037355545,0.014243482934694974,0.014780972856758936,56.0,0.013168503090567052,0.009943563558183283,0.007524858908895459,0.007256113947863478
M. Pereira,69,69,1000000,7000,1,4.0,3.0,1,3,22,17.0,155,73,66.0,0.011972274732199117,0.010291955471539594,0.012392354547364,0.010712035286704473,0.014492753623188406,0.010501995379122032,0.010081915563957152,0.011972274732199117,0.014282713715605966,0.018483511867254776,0.018273471959672338,0.018483511867254776,0.014072673808023524,0.014702793530770848,0.017223272421760135,0.0191136315900021,0.01596303297626549,0.01638311279143037,0.012182314639781557,0.013232514177693762,0.011342155009451797,0.013442554085276203,0.013022474270111321,51.0,0.013442554085276203,0.010291955471539594,0.010922075194286915,0.00966183574879227
L. Pisculichi,73,73,2000000,12000,0,2.0,3.0,7,6,0,18.0,180,74,74.0,0.012760367798836554,0.011634452993056857,0.013510977669356352,0.013886282604616251,0.0136986301369863,0.015012197410395946,0.015387502345655847,0.014073935072246201,0.014449240007506099,0.012385062863576655,0.011634452993056857,0.013886282604616251,0.012197410395946707,0.014824544942766,0.014636892475136049,0.013886282604616251,0.009757928316757364,0.011071495590167011,0.014261587539876148,0.011071495590167011,0.009007318446237568,0.012572715331206605,0.014073935072246201,78.0,0.013886282604616251,0.010883843122537061,0.0054419215612685305,0.0043160067554888345
Aketxe,72,78,4300000,6000,0,3.0,3.0,8,6,0,23.0,180,67,75.0,0.013310185185185185,0.010416666666666666,0.013888888888888888,0.011766975308641976,0.013503086419753086,0.016203703703703706,0.016396604938271605,0.01408179012345679,0.01408179012345679,0.013310185185185185,0.011188271604938273,0.0154320987654321,0.012924382716049383,0.015817901234567902,0.014467592592592594,0.008873456790123456,0.011188271604938273,0.011381172839506173,0.0154320987654321,0.010030864197530864,0.007908950617283951,0.013503086419753086,0.013695987654320988,67.0,0.01273148148148148,0.00771604938271605,0.009645061728395061,0.010030864197530864
A. Dercho,66,66,425000,2000,0,2.0,3.0,8,3,7,6.0,186,75,67.0,0.008494031221303948,0.012396694214876033,0.015151515151515152,0.00711662075298439,0.015610651974288337,0.011019283746556474,0.009871441689623508,0.011937557392102846,0.015151515151515152,0.016299357208448117,0.01584022038567493,0.015151515151515152,0.014692378328741965,0.015610651974288337,0.009871441689623508,0.016758494031221302,0.01423324150596878,0.015151515151515152,0.006887052341597796,0.013314967860422406,0.014462809917355372,0.01285583103764922,0.015610651974288337,43.0,0.01652892561983471,0.015151515151515152,0.014692378328741965,0.014692378328741965
I. Osbourne,62,62,280000,2000,1,4.0,2.0,6,6,4,30.0,189,79,51.0,0.01222684703433923,0.016389177939646202,0.016389177939646202,0.014308012486992715,0.015348595213319459,0.012486992715920915,0.011446409989594173,0.016129032258064516,0.01586888657648283,0.016129032258064516,0.01586888657648283,0.014828303850156087,0.015608740894901146,0.016129032258064516,0.016909469302809572,0.018210197710718003,0.018730489073881376,0.02081165452653486,0.014828303850156087,0.018730489073881376,0.016389177939646202,0.013007284079084287,0.01586888657648283,51.0,0.016909469302809572,0.016649323621227886,0.016389177939646202,0.016129032258064516
K. Kovačević,57,61,140000,1000,1,2.0,2.0,7,6,26,25.0,189,80,41.0,0.018775007694675286,0.018467220683287166,0.014158202523853492,0.01569713758079409,0.013850415512465374,0.012619267466912897,0.009849184364419821,0.010772545398584181,0.01538935056940597,0.01692828562634657,0.016620498614958446,0.015081563558017852,0.017236072637734686,0.01538935056940597,0.019698368728839642,0.01631271160357033,0.016620498614958446,0.02246845183133272,0.01815943367189905,0.02092951677439212,0.0049245921822099106,0.014465989535241613,0.014465989535241613,57.0,0.01569713758079409,0.009541397353031703,0.006463527239150508,0.00523237919359803
A. Razak,64,67,550000,1000,0,3.0,3.0,8,3,4,7.0,183,80,58.0,0.012939453125,0.01220703125,0.016357421875,0.01025390625,0.015380859375,0.015869140625,0.015869140625,0.014892578125,0.015869140625,0.017578125,0.017822265625,0.0166015625,0.01513671875,0.01708984375,0.010009765625,0.013671875,0.015380859375,0.016845703125,0.010986328125,0.013916015625,0.013427734375,0.014892578125,0.016357421875,59.0,0.01611328125,0.013916015625,0.014404296875,0.013427734375
